N,beta,T_used,charge,cell_size,lambda,kappa_mean,kappa_stderr,kappa_z,r2_mean,r2_stderr,dr2_mean,dr2_stderr,kappa_resid_mean,kappa_resid_stderr,kappa_resid_z,r2_resid_mean,r2_resid_stderr,dr2_resid_mean,dr2_resid_stderr,ess_kappa,ess_kappa_resid,acc_mean,n_samples,mix_steps,source_frac,sink_frac,inject,interior_frac,shuffle_charge,excise_defects
120,0.0025,1.0,deg,20,0.0,0.011657089640697275,0.002107538447173542,5.53113973143921,0.2757445757169837,0.016457537795346498,0.0,0.023274473153446825,0.0,0.0,nan,nan,nan,0.0,0.0,108.84290493170131,300.0,0.9582222222222222,300,200,0.05,0.05,0.005,0.4,0,0
120,0.0025,1.0,deg,20,-0.5,0.008541504085524813,0.0015636181609363256,5.462653414315674,0.22583302487654727,0.013465453609597802,-0.049911550840436414,0.021264265592714198,-0.004410045626946446,0.0006845541170085346,-6.442216206686643,0.3180765821135648,0.018030203480526204,0.3180765821135648,0.018030203480526204,143.0043515969369,88.6506692558597,0.9605925925925926,300,200,0.05,0.05,0.005,0.4,0,0
120,0.0025,1.0,deg,20,0.5,0.012712535220636693,0.001899229751517666,6.693521523911556,0.3153626658561005,0.01948817382900452,0.039618090139116824,0.02550763551320967,0.002420655369564156,0.000545036641721526,4.441270887620313,0.32760539723996146,0.018893759249421018,0.32760539723996146,0.018893759249421018,176.40879120775304,145.9929597580858,0.9586666666666667,300,200,0.05,0.05,0.005,0.4,0,0
