N,beta,T_used,charge,cell_size,lambda,kappa_mean,kappa_stderr,kappa_z,r2_mean,r2_stderr,dr2_mean,dr2_stderr,kappa_resid_mean,kappa_resid_stderr,kappa_resid_z,r2_resid_mean,r2_resid_stderr,dr2_resid_mean,dr2_resid_stderr,ess_kappa,ess_kappa_resid,acc_mean,n_samples,mix_steps,source_frac,sink_frac,inject,interior_frac,shuffle_charge,excise_defects
250,0.0025,1.0,deg,40,0.0,0.011189870635911212,0.001145927363420664,9.764903948631401,0.33088162515530545,0.01910196246984469,0.0,0.027014254392796228,0.0,0.0,nan,nan,nan,0.0,0.0,113.92510600762633,300.0,0.9291111111111112,300,200,0.05,0.05,0.005,0.4,0,0
250,0.0025,1.0,deg,40,-0.5,0.0070578749913780365,0.0009205962349741805,7.666634647464081,0.22689382322747237,0.017854608391519016,-0.10398780192783308,0.02614712242320092,-0.0032152847119271467,0.0003743699331207231,-8.588522815186426,0.3302569342519847,0.023560621296924593,0.3302569342519847,0.023560621296924593,86.65619197627791,85.09373490502294,0.9302222222222222,300,200,0.05,0.05,0.005,0.4,0,0
250,0.0025,1.0,deg,40,0.5,0.015029726050881926,0.0014943450733124364,10.057734534879765,0.3448959734006278,0.01718060792140134,0.014014348245322328,0.025691598991660167,0.003419918355459468,0.00044017849558251914,7.769389894737246,0.3588226859446892,0.021454349205159456,0.3588226859446892,0.021454349205159456,98.64168352622866,76.24635565014516,0.9294814814814815,300,200,0.05,0.05,0.005,0.4,0,0
