N,beta,T_used,JS4,JS4_stderr,JSKR,JSKR_stderr,p20,p20_stderr,acc
180,0.0035,1.0,0.002365474884226858,8.49018163410333e-05,0.12110932038351514,0.0006533658774065828,0.9987474166666666,0.00010879268395069692,0.9293647058823529
180,0.004,1.0,0.0023106174864459847,8.740970031037728e-05,0.12237223016976762,0.0007232292416353411,0.9984736666666666,9.879019339271458e-05,0.9160823529411765
180,0.003,1.0,0.002419791577727751,9.718890137685142e-05,0.12472841417765818,0.0007800470951705906,0.9981635,9.752791577833736e-05,0.9357529411764706
180,0.002,1.0,0.0021875956973427114,6.990238881949557e-05,0.121146914264082,0.0006638337022257093,0.9985001666666667,8.998024610322821e-05,0.9574117647058824
180,0.005,1.0,0.002343813947571838,9.255780809813312e-05,0.12399409376576562,0.0007465195502428859,0.9981307500000001,0.0001131990277097447,0.8984941176470589
180,0.0042,1.0,0.0024846295280050146,9.754898044055994e-05,0.12336192669892469,0.0007452972846184098,0.998248,0.00014123475298649863,0.9116470588235295
180,0.0044,1.0,0.0025100716497273154,0.00011816763635767689,0.12454389956562568,0.0008238491297262385,0.9981553333333333,0.0001102230108053192,0.9064941176470589
Binary file protocolC_N180_prod/b0.01/protocolC_interval_stats.png matches
180,0.01,1.0,0.002705244813338934,9.920199239295037e-05,0.12824178234294578,0.000602621799028058,0.9980266666666666,0.00012689843208356458,0.7876588235294117
180,0.007,1.0,0.002615686832984337,0.00012304302581152358,0.12588208902652362,0.0007945271520922448,0.99813175,0.000129120295995065,0.8522941176470589
180,0.006,1.0,0.0023785064744466433,8.17376143586821e-05,0.1234168094667626,0.0008212995523142581,0.998337,0.00011825821751712033,0.8785999999999999
180,0.001,1.0,0.0023066914994151347,7.792337323337473e-05,0.120404173799395,0.0006154237574480232,0.9985148333333334,8.59814952556233e-05,0.9795764705882354
250,0.0035,1.0,0.001506889254465809,4.887602079883942e-05,0.1351441826541389,0.0005972008025032972,0.9965254166666666,0.00014737446322030662,0.9093176470588237
250,0.004,1.0,0.0017120750178504928,7.181517048630007e-05,0.1357088596098598,0.0007717164221643556,0.996286,0.00020262020292434146,0.8951764705882352
250,0.003,1.0,0.0019148829340387584,9.020282148400743e-05,0.1331567209532624,0.000792012512521529,0.9966933333333334,0.0002137154059416153,0.9221529411764706
250,0.002,1.0,0.0019162439819646515,0.0001167790563686409,0.132311254248874,0.0008013547092848883,0.996597,0.00016925882666593198,0.9493411764705882
250,0.005,1.0,0.0018224662126742337,8.24881908838715e-05,0.13566169746998902,0.001042741233717036,0.9964186666666667,0.00019252430090484785,0.8714470588235294
250,0.0042,1.0,0.0016581681546595343,6.597355256937729e-05,0.13548938696609142,0.0007068231485861798,0.9964591666666666,0.00017520193975917198,0.8893176470588235
250,0.0044,1.0,0.0018157574533854467,9.705530051073237e-05,0.1365828175676795,0.0008835685330005354,0.9961534166666666,0.00020792076935472742,0.8843882352941176
250,0.01,1.0,0.00209886651414121,8.771725143825181e-05,0.14200917518994283,0.0007999750072303826,0.9950728333333334,0.0002257269864996984,0.7344941176470589
250,0.007,1.0,0.001634410567705977,7.018578797612042e-05,0.13798076469036602,0.0007320251058945405,0.9959088333333334,0.0001842921196986676,0.8150941176470589
250,0.006,1.0,0.0016542063280954474,6.273536540091978e-05,0.1365711145807688,0.0007902588275794566,0.9959519166666666,0.00021193822539696916,0.8409411764705883
250,0.001,1.0,0.0017130731989682339,8.227829280931907e-05,0.13382765684112785,0.0008679748127212892,0.9963069166666667,0.00017153931239181002,0.9728823529411764
350,0.0035,1.0,0.001321691255631276,6.543974360753245e-05,0.1490726825156742,0.0007969549996489259,0.9924086666666667,0.00032030745879715905,0.8860235294117647
350,0.004,1.0,0.001466881650856926,8.825223836546136e-05,0.14945901219826982,0.0010494155140018122,0.99235625,0.0003321595207641216,0.8678000000000001
350,0.003,1.0,0.0013533414656937519,7.370927541492562e-05,0.14752207496125694,0.0008057665288104855,0.9926250833333333,0.00031227087726577545,0.8995647058823529
350,0.002,1.0,0.0012564076631427525,5.9004125729930556e-05,0.14547292501373293,0.0008419344382362416,0.9935875,0.00024968415717266477,0.9338588235294119
350,0.005,1.0,0.0014467353940003755,9.893820512829888e-05,0.14947660797397208,0.0009416419593092729,0.9922786666666668,0.0003376980825194211,0.8369764705882353
350,0.0042,1.0,0.0015263876179885958,0.00010899032833811475,0.1515016393171543,0.0010031409800012134,0.99219975,0.00034831526812052917,0.8636235294117647
350,0.0044,1.0,0.0014539974043431393,8.866292693188249e-05,0.1491361460836331,0.0010462716897720813,0.99269375,0.0003698907792389535,0.8596235294117646
350,0.01,1.0,0.0024397566056897535,0.0001805282381705505,0.1574255307724776,0.0008760917192150512,0.9900795833333332,0.00045013936593339546,0.6718352941176471
350,0.007,1.0,0.0015925173328177604,8.996788318027632e-05,0.15203123017697384,0.0009168228900222556,0.9918934999999999,0.0002467633456655853,0.7733529411764705
350,0.006,1.0,0.001458411373685236,6.787383192569498e-05,0.15020091987624432,0.0009813601346179471,0.9925288333333333,0.00027903336201911633,0.8087294117647058
350,0.001,1.0,0.0012745932682658207,7.262360911019512e-05,0.14432048288238278,0.0008152684625013041,0.9937803333333333,0.0002482266779448212,0.9678000000000001
