N,beta,T_used,charge,cell_size,lambda,kappa_mean,kappa_stderr,kappa_z,r2_mean,r2_stderr,dr2_mean,dr2_stderr,kappa_resid_mean,kappa_resid_stderr,kappa_resid_z,r2_resid_mean,r2_resid_stderr,dr2_resid_mean,dr2_resid_stderr,ess_kappa,ess_kappa_resid,acc_mean,n_samples,mix_steps,source_frac,sink_frac,inject,interior_frac,shuffle_charge,excise_defects
150,0.0025,1.0,deg,25,0.0,0.016369890533939207,0.002372444194510766,6.900010787109337,0.29385453712541537,0.021390235923402775,0.0,0.030250361745236386,0.0,0.0,nan,nan,nan,0.0,0.0,122.85815470251819,300.0,0.9518518518518518,300,200,0.05,0.05,0.005,0.4,0,0
150,0.0025,1.0,deg,25,-0.5,0.012377613318934633,0.0014527320383750564,8.520231530640386,0.2568880211226974,0.015671820025181693,-0.036966516002718,0.026516940542990936,-0.004679093362731,0.000492783973604002,-9.495222274600776,0.38864517502219775,0.021245991329055636,0.38864517502219775,0.021245991329055636,218.05565155416244,162.687711839358,0.9505185185185185,300,200,0.05,0.05,0.005,0.4,0,0
150,0.0025,1.0,deg,25,0.5,0.025701029721111945,0.0022178580245594895,11.588221354347818,0.3975291699261637,0.025843277659528176,0.10367463280074835,0.033547238232771094,0.005089343290722653,0.0006183935310086762,8.229942642545605,0.41526614129501455,0.022971814595596336,0.41526614129501455,0.022971814595596336,168.06825006301963,100.51980894872827,0.9505925925925927,300,200,0.05,0.05,0.005,0.4,0,0
